Name,I have used R,Programming Experience,#Stats Classes,Zombocalypse,Pirates or Ninjas
K,FALSE,0,1,6.8,Pirates
A,FALSE,3.5,none yet,8,Ninjas
N,FALSE,0,1,5,Pirates
A,FALSE,0,1,5,Both
K,FALSE,0,1,3,Pirates
S,FALSE,0,none,5,Ninjas
M,TRUE,4,1,0,Ninjas
L,FALSE,4,none,6,Pirates
A,FALSE,1,1,0,Ninja Pirate!
K,TRUE,1.75,1,2,Pirates?
A,TRUE,3,1,6,Pirates! (of the caribbean)
K,TRUE,0,0,10,Pirates
P,TRUE,2.5,1,10,Pirates
S,FALSE,1.5,2,7,Ninja!
R,TRUE,1,1,8,Pirates
A,TRUE,2,1,9,Ninjas (no gingevitas)
I,TRUE,2,1,6,Pirates
R,TRUE,2.5,1,10,Ninjas
M,FALSE,0,0,-1,def. Pirates
S,TRUE,3,1,2,Ninjas
A,TRUE,1.3,1,0,Ninjas
M,FALSE,1,1,0.5,"Pirates, obviously"
